timestamp,screen_name,replay_to_users,replies,retweets,likes,text,geo,mentions,hashtags,user_id,tweet_url,city_id,city,lat,lng
2019-10-17 13:29:17,mjgoodwinart,AdamdeGrandis,0,0,1,"O shit! Hope y’all are good, I feel like I saw this in a State Farm commercial",,,[],1184823700992024577,https://twitter.com/mjgoodwinart/status/1184823700992024577,1840054805,Durham,43.1174,-70.9195
2019-03-26 14:10:54,scottjoy,StateFarm,0,0,1,@Sillysully7 What do you think? #CamelFever,,@Sillysully7,CamelFever,1110544659938455553,https://twitter.com/scottjoy/status/1110544659938455553,1840054805,Durham,43.1174,-70.9195
2019-11-30 12:47:28,jdb820,,0,0,0,This She Shed needs to be chicier. #SeaFestivalOfTrees #SeaFestOfTrees #salisburyma #StateFarm @Sea Festival of Trees https://www.instagram.com/p/B5fXfMjh-kk/?igshid=1eaxrbgy3u5l3,,,SeaFestivalOfTrees SeaFestOfTrees salisburyma StateFarm,1200758240650248192,https://twitter.com/jdb820/status/1200758240650248192,1840054955,Hampton,42.9391,-70.837
2019-03-26 14:10:54,scottjoy,StateFarm,0,0,1,@Sillysully7 What do you think? #CamelFever,,@Sillysully7,CamelFever,1110544659938455553,https://twitter.com/scottjoy/status/1110544659938455553,1840054955,Hampton,42.9391,-70.837
2019-06-09 12:17:37,therevdude99,,0,0,0,We could save billions a year by stopping floods and forest fires but companies don't listen to common sense! @StateFarm @WeAreFarmers @LibertyMutual @GEICO @USAA @Amica,,@StateFarm @WeAreFarmers @LibertyMutual @GEICO @USAA @Amica,[],1137695242902282240,https://twitter.com/therevdude99/status/1137695242902282240,1840055182,Milford,42.8178,-71.6736
2019-11-30 12:47:28,jdb820,,0,0,0,This She Shed needs to be chicier. #SeaFestivalOfTrees #SeaFestOfTrees #salisburyma #StateFarm @Sea Festival of Trees https://www.instagram.com/p/B5fXfMjh-kk/?igshid=1eaxrbgy3u5l3,,,SeaFestivalOfTrees SeaFestOfTrees salisburyma StateFarm,1200758240650248192,https://twitter.com/jdb820/status/1200758240650248192,1840054838,Exeter,42.9901,-70.9646
2019-10-17 13:29:17,mjgoodwinart,AdamdeGrandis,0,0,1,"O shit! Hope y’all are good, I feel like I saw this in a State Farm commercial",,,[],1184823700992024577,https://twitter.com/mjgoodwinart/status/1184823700992024577,1840054838,Exeter,42.9901,-70.9646
2019-03-26 14:10:54,scottjoy,StateFarm,0,0,1,@Sillysully7 What do you think? #CamelFever,,@Sillysully7,CamelFever,1110544659938455553,https://twitter.com/scottjoy/status/1110544659938455553,1840054838,Exeter,42.9901,-70.9646
2019-11-03 04:11:36,jncojeanwhore,cumtweetsdotcom,1,0,0,are you jake from state farm?,,,[],1190843947607842816,https://twitter.com/jncojeanwhore/status/1190843947607842816,1840055881,Windham,42.8076,-71.2995
2019-10-26 17:29:10,jcarlsonma,,2,0,0,Just got a weird letter from @StateFarm asking to confirm residency of my wife. She does not work outside the home but only acceptable confirmation is W2 or government disability. We’ve been married 26 years and have lived at the same address for over 23 years.,,@StateFarm,[],1188145558638206976,https://twitter.com/jcarlsonma/status/1188145558638206976,1840055881,Windham,42.8076,-71.2995
2019-06-09 12:17:37,therevdude99,,0,0,0,We could save billions a year by stopping floods and forest fires but companies don't listen to common sense! @StateFarm @WeAreFarmers @LibertyMutual @GEICO @USAA @Amica,,@StateFarm @WeAreFarmers @LibertyMutual @GEICO @USAA @Amica,[],1137695242902282240,https://twitter.com/therevdude99/status/1137695242902282240,1840055881,Windham,42.8076,-71.2995
2019-05-16 13:51:47,Pru_Brighton,jkopy1962RI,0,0,0,With Koch Industries there's a long list of products and companies they own. Start by looking at the brand names in your bathroom. They sell a lot of toilet paper.,,,[],1129021630464876545,https://twitter.com/Pru_Brighton/status/1129021630464876545,1840055881,Windham,42.8076,-71.2995
2019-05-16 13:29:08,Pru_Brighton,jkopy1962RI,0,0,1,"Please let them know, or just pick a few that you do business with and let them know. I'm picking mine. CVS will be at the top of my list. I hated them for a long time.",,,[],1129015930456035329,https://twitter.com/Pru_Brighton/status/1129015930456035329,1840055881,Windham,42.8076,-71.2995
2019-05-16 13:26:26,Pru_Brighton,JuddLegum,1,0,0,@threadreaderapp unroll,,@threadreaderapp,[],1129015250253230083,https://twitter.com/Pru_Brighton/status/1129015250253230083,1840055881,Windham,42.8076,-71.2995
2019-11-03 04:11:36,jncojeanwhore,cumtweetsdotcom,1,0,0,are you jake from state farm?,,,[],1190843947607842816,https://twitter.com/jncojeanwhore/status/1190843947607842816,1840055379,Pelham,42.7336,-71.324
2019-10-26 17:29:10,jcarlsonma,,2,0,0,Just got a weird letter from @StateFarm asking to confirm residency of my wife. She does not work outside the home but only acceptable confirmation is W2 or government disability. We’ve been married 26 years and have lived at the same address for over 23 years.,,@StateFarm,[],1188145558638206976,https://twitter.com/jcarlsonma/status/1188145558638206976,1840055379,Pelham,42.7336,-71.324
2019-06-09 12:17:37,therevdude99,,0,0,0,We could save billions a year by stopping floods and forest fires but companies don't listen to common sense! @StateFarm @WeAreFarmers @LibertyMutual @GEICO @USAA @Amica,,@StateFarm @WeAreFarmers @LibertyMutual @GEICO @USAA @Amica,[],1137695242902282240,https://twitter.com/therevdude99/status/1137695242902282240,1840055379,Pelham,42.7336,-71.324
